code,name
BSE/BOM500390,RELIANCE INFRASTRUCTURE LTD. EOD Prices
BSE/BOM500394,SOLID CARBIDE TOOLS LTD. EOD Prices
BSE/BOM500399,STEELCO GUJARAT LTD. EOD Prices
BSE/BOM500400,TATA POWER CO.LTD. EOD Prices
BSE/BOM500402,SPML Infra Limited EOD Prices
BSE/BOM500403,SUNDRAM FASTENERS LTD. EOD Prices
BSE/BOM500404,SUNFLAG IRON & STEEL CO.LTD. EOD Prices
BSE/BOM500405,SUPREME PETROCHEM LTD. EOD Prices
BSE/BOM500407,SWARAJ ENGINES LTD. EOD Prices
BSE/BOM500408,TATA ELXSI LTD. EOD Prices
BSE/BOM500410,ACC LTD. EOD Prices
BSE/BOM500411,THERMAX LTD. EOD Prices
BSE/BOM500412,THIRUMALAI CHEMICALS LTD. EOD Prices
BSE/BOM500413,THOMAS COOK (INDIA) LTD. EOD Prices
BSE/BOM500414,TIMEX GROUP INDIA LTD.-$ EOD Prices
BSE/BOM500418,TOKYO PLAST INTERNATIONAL LTD. EOD Prices
BSE/BOM500420,TORRENT PHARMACEUTICALS LTD. EOD Prices
BSE/BOM500422,TRANSCHEM LTD.-$ EOD Prices
BSE/BOM500425,AMBUJA CEMENTS LTD. EOD Prices
BSE/BOM500426,UTL Industries Limited EOD Prices
BSE/BOM500429,UNIPHOS ENTERPRISES LTD. EOD Prices
BSE/BOM500439,VARDHMAN HOLDINGS LTD. EOD Prices
BSE/BOM500440,HINDALCO INDUSTRIES LTD. EOD Prices
BSE/BOM500444,WEST COAST PAPER MILLS LTD. EOD Prices
BSE/BOM500449,HINDUSTAN ORGANIC CHEMICALS LTD. EOD Prices
BSE/BOM500450,MPIL CORPORATION LTD. EOD Prices
BSE/BOM500456,PASUPATI ACRYLON LTD. EOD Prices
BSE/BOM500458,Kore Foods Ltd EOD Prices
BSE/BOM500459,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD. EOD Prices
BSE/BOM500460,MUKAND LTD. EOD Prices
BSE/BOM500463,AGC Networks Limited EOD Prices
BSE/BOM500464,UCAL FUEL SYSTEMS LTD. EOD Prices
BSE/BOM500465,Varun Shipping Co.ltd. EOD Prices
BSE/BOM500467,HARRISONS MALAYALAM LTD. EOD Prices
BSE/BOM500469,FEDERAL BANK LTD. EOD Prices
BSE/BOM500470,TATA STEEL LTD. EOD Prices
BSE/BOM500472,SKF India Ltd EOD Prices
BSE/BOM500477,ASHOK LEYLAND LTD. EOD Prices
BSE/BOM500480,CUMMINS INDIA LTD. EOD Prices
BSE/BOM500483,TATA COMMUNICATIONS LTD. EOD Prices
BSE/BOM500488,ABBOTT INDIA LTD. EOD Prices
BSE/BOM500490,BAJAJ HOLDINGS & INVESTMENT LTD. EOD Prices
BSE/BOM500493,BHARAT FORGE LTD. EOD Prices
BSE/BOM500495,ESCORTS LTD. EOD Prices
BSE/BOM500500,HINDUSTAN MOTORS LTD. EOD Prices
